# layers	k	b	g	r	kerror	berror	gerror	rerror
1 120	126	119	118 6 6 6 4
2 113	127	113	109 4 5 5 5
3 111	133	109	106 5 5 5 5
4 108	138	106	97  5 5 5 5
5 105	143	103	90  5 5 5 5
